t,theta,theta_ref,error,p1_cmd,p2_cmd,p1_meas,p2_meas,J_min,J_mean,comp_time_ms,hold_mode,sigma_u
1763324703.4448302,-0.02675186087671771,0.0,0.02675186087671771,0.5186589265734074,0.5758467608701903,0.5085043907165527,0.5700879693031311,0.0,0.0,0.514984130859375,1,0.05403600876626367
1763324703.464657,-0.02635827142782437,0.0,0.02635827142782437,0.5186589265734074,0.5758467608701903,0.5096040964126587,0.5689882636070251,0.0,0.0,0.47779083251953125,1,0.05403600876626367
1763324703.484441,-0.025915785167016626,0.0,0.025915785167016626,0.5186589265734074,0.5758467608701903,0.5085043907165527,0.5700879693031311,0.0,0.0,0.3039836883544922,1,0.05403600876626367
1763324703.5047066,-0.025531607298172627,0.0,0.025531607298172627,0.5186589265734074,0.5758467608701903,0.5096040964126587,0.5678885579109192,0.0,0.0,0.5228519439697266,1,0.05403600876626367
1763324703.5248227,-0.025117444781945317,0.0,0.025117444781945317,0.5186589265734074,0.5758467608701903,0.5096040964126587,0.5678885579109192,0.0,0.0,0.5147457122802734,1,0.05403600876626367
1763324703.5448298,-0.02469337072570945,0.0,0.02469337072570945,0.5186589265734074,0.5758467608701903,0.5096040964126587,0.5678885579109192,0.0,0.0,0.5116462707519531,1,0.05403600876626367
1763324703.5646622,-0.024273588734499748,0.0,0.024273588734499748,0.5186589265734074,0.5758467608701903,0.5096040964126587,0.5678885579109192,0.0,0.0,0.46753883361816406,1,0.05403600876626367
1763324703.5844548,-0.02386785123741957,0.0,0.02386785123741957,0.5186589265734074,0.5758467608701903,0.5107038021087646,0.5667888522148132,0.0,0.0,0.29158592224121094,1,0.05403600876626367
1763324703.604561,-0.02348256193966935,0.0,0.02348256193966935,0.5186589265734074,0.5758467608701903,0.5107038021087646,0.5667888522148132,0.0,0.0,0.34928321838378906,1,0.05403600876626367
1763324703.624297,-0.023121629819407716,0.0,0.023121629819407716,0.5186589265734074,0.5758467608701903,0.5107038021087646,0.5667888522148132,0.0,0.0,0.21123886108398438,1,0.05403600876626367
1763324703.644401,-0.022787128045520348,0.0,0.022787128045520348,0.5186589265734074,0.5758467608701903,0.5107038021087646,0.5656891465187073,0.0,0.0,0.22840499877929688,1,0.05403600876626367
1763324703.664455,-0.02247980003156222,0.0,0.02247980003156222,0.5186589265734074,0.5758467608701903,0.5107038021087646,0.5645894408226013,0.0,0.0,0.3185272216796875,1,0.05403600876626367
1763324703.6846464,-0.022199445976480346,0.0,0.022199445976480346,0.5186589265734074,0.5758467608701903,0.5107038021087646,0.5645894408226013,0.0,0.0,0.37217140197753906,1,0.05403600876626367
1763324703.7043912,-0.021945216206554038,0.0,0.021945216206554038,0.5186589265734074,0.5758467608701903,0.5107038021087646,0.5645894408226013,0.0,0.0,0.3039836883544922,1,0.05403600876626367
1763324703.7247274,-0.021724487429509755,0.0,0.021724487429509755,0.5186589265734074,0.5758467608701903,0.5107038021087646,0.5645894408226013,0.0,0.0,0.5412101745605469,1,0.05403600876626367
