t,theta_ref_deg,theta_pred_deg,p1_MPa,p2_MPa,ps_MPa,pd_MPa,z,ok,mpa_cmd_x,mpa_cmd_y
1.69,30.0,-5.866036406293064,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.7,30.0,-5.8663724123443055,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.71,30.0,-5.866694013688547,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.72,30.0,-5.86700182784308,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.73,30.0,-5.867296445854291,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.74,30.0,-5.8675784334322465,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.75,30.0,-5.867848332036669,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.76,30.0,-5.8681066599163625,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.77,30.0,-5.868353913104109,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.78,30.0,-5.868590566368918,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.79,30.0,-5.868817074127474,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.8,30.0,-5.869033871316521,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.81,30.0,-5.8692413742278635,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.82,30.0,-5.869439981307571,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
1.83,30.0,-5.86963007392094,0.017690632897252107,0.022509879252770763,0.04020051215002287,-0.004819246355518655,-0.004228973236568453,1,80.51203594127182,102.4449615770545
